"","comicName","comicSummary","comicGrade"
"798","주경야dog","낮에는 일하고 밤에는 우리 집 강아지를 탐구합니다.","9.85"
"799","업사이클 다이어리","버리면 애물단지 손대면 나만의 예술작품","9.71"
"800","방백남녀","남녀의 우정","9.31"
"801","백조의 호수","은둔형 외톨이 백수 로맨스만화.","9.80"
"802","브리스크 펄데이즈","화창한 가을의 나날","9.02"
"803","마녀는 그렇게 죽었다","우리가 모르던 마녀의 이야기","9.82"
"804","여대생 차오름의 천사","히키코모리 여대생 ""차오름"", 그녀의 눈 앞에 ""미야""라는 꼬마 천사가 태어난다.","9.89"
"805","카인의표적","악마의 표식을 얻은 자들의 싸움","9.85"
"806","춘향전설","조선시대 학원액션물","9.74"
"807","아이엠 헝그리","마법소녀 이야기","9.79"
"808","여대생의 정석","평범한 일상","9.87"
"809","홍차 리브레","홍차영의 서툴지만 설레이는 하루","9.89"
"810","벨벳 모멘트","역사성 판타지액션","9.32"
"811","도깨비를 키우는 방법","도둑과 도깨비","9.83"
"812","괴괴괴괴괴","괴기한 이야기들","9.79"
"813","협주곡","감성 스릴러","9.89"
"814","오늘 뭐 해먹지?","음식을 통해 인생을 들여다 보다.","9.85"
"815","도니월드","카툰초보 아저씨의 좌충우돌 일상기","8.21"
"816","1인용 기분","오늘, 우리의 기분","9.88"
"817","획","역동(力動)","9.86"
"818","검은소","요괴 마을","9.84"
"819","멋져! 김치가이","푸드맨들의 등장!","9.89"
"820","고양이별, 지구별","집사 공감 일상툰","9.80"
"821","이세계 용사랑 마왕 뭐 그런거 알잖아?","안 흔한 이세계물","9.88"
"822","옥상난간에 엄지발가락","게으른 청춘의 일상이야기","9.73"
"823","WaNDerer","그들","9.87"
"824","12HOUR monster","-괴물이  있었다.","9.84"
"825","난다고시원","가로 1.5m x 세로 2.2m 1평도 안 되는 고시원방  그 안에서 벌어지는 좌충우돌 코믹감동 드라마!","8.96"
"826","주먹꾹","고양고양한 이 친구들을 만나보세요","9.90"
"827","드래곤레이디","저의이름을 말해주세요.","9.72"
"828","AI폰 아리랑","AI폰 아리랑","9.89"
"829","평범한(?) 지구인들","일상툰","9.75"
"830","볼트(VOLT)","SF 액션 판타지","9.74"
"831","지오코소 가난뱅이","음악성장만화.","9.89"
"832","비공식 공동체","각각 다른 개성을 가진 그들의 모임 비공식 공동체 !","8.86"
"833","어글리후드","내가 외계인이니까","9.90"
"834","노곤하개","아주 노곤노곤하 개","9.88"
"835","내 낡은 서랍 속의 일기장","글/그림 - 정향준","9.87"
"836","홍시는 날 좋아해!","안녕하세요, 홍시예요!","9.89"
"837","힘을내요 노모파워","나이든 엄마의 육아일기","9.87"
"838","상그미상","일상툰!","9.88"
"839","푸므로 달려와","아빠와 딸","8.88"
"840","달기알","달걀 닮아서 달기알.","9.88"
"841","이별일기","사랑의 끝은","9.80"
"842","곤충전","판타지","9.87"
"843","북극곰자리","한 컷 동물 우화","9.72"
"844","슈넨베리아","쌍둥이 이야기","9.87"
"845","적막소녀","령을 보는 소녀","9.86"
"846","너를 들을 수 있는","조금 특별한 동거","9.83"
"847","좀비인간","국내에 퍼진 좀비 바이러스, 그 실체는?!","9.81"
"848","아기낳는만화","쉽지만은 않았던 임신 이야기","9.88"
"849","지옥으로부터의 나날들","커플지옥","9.43"
"850","크리스마스 이브 캔 킬 유","크리스마스날 저는 하루종일 코만 풀었습니다.","9.70"
"851","옆집여대생","순정웹툰","9.81"
"852","사랑의 모양","동물귀 좋아요","9.53"
"853","빅보이","거대해진 소년의 이야기","9.88"
"854","종말의 왕국","모든 것을 잃은 남자 ‘제임스’ 의 생존기","9.58"
"855","사냥꾼과 최형사","현대판 현상금사냥꾼","9.59"
"856","꾸숑의 폭식니즘","배고프진 않은데, 그냥 먹어~ 이런 분들.. 모두 손!!!","9.73"
"857","바람에 남긴 기억","마법의 세계","9.84"
"858","HAVE A NICE DAY","일상을 그린 이야기","9.78"
"859","송양 게스트 하우스","양 아가씨","9.75"
"860","론즈(Lons)",".","9.82"
"861","한라지강","이중소녀","9.89"
"862","이왕이면 감사","네컷만화","9.76"
"863","해결사","해결사를 하는 소년소녀의 일상물","9.88"
"864","사춘기소녀 커플즈","커플즈","9.81"
"865","사이어미즈","어새신 느와르","9.75"
"866","10월 28일","같은 하루가 반복된다.","9.89"
"867","나를 깨우러 온","꿈으로 사라져버린 사람들, 그들을 되찾아오는 사람들","9.90"
"868","3분의1","엄마의 암투병과 바라보는 가족들의 속마음","9.87"
"869","던전의 주인님","기다려왔던 이세계 환생! 쪼렙이라고 깔보지 마라, 인생은 실전이다!","9.88"
"870","외인","유령이 보이는 여고생과 흡혈귀의 일상","8.58"
"871","달콤쌉쌀,민트","첫사랑은 치약맛?","9.88"
"872","그대 곁으로,","+그대 곁으로,+","8.41"
"873","LSD","게임개발팀이야기","9.86"
"874","오늘, 뭐했어?","일상 에피소드","9.70"
"875","좀비와 함께 밥을!","배가고프다","9.89"
"876","겨울에 웃는 꽃","연기 만화 (feat. 천재/먼치킨)","9.86"
"877","나나의 교환학생이야기","터키로 떠난 나나!","9.88"
"878","엘프하프","엘프 에루의 이야기","9.85"
"879","BO고또'보'고","보토끼의소소한일상","9.03"
"880","서른 되면 뭐 달라질 줄 아냐?","서른 넘어도 달라지는 거 하나도 없다.","9.86"
"881","중고 팔레트","수상한 가게 이상한 물건","9.84"
"882","반짝반짝 왕자님","반짝반짝 빛나는 왕자님과 독특한 친구들의 고교생활 이야기","9.89"
"883","버블티","세 여대생들의 달콤하고 쫄깃쫄깃한 이야기 들어보실래요?","9.79"
"884","내가 황제를 만났을때","손발이 사라지는 마법","9.69"
"885","SAURUS","공룡 드라마","9.76"
"886","언데드의사 김해골","던전의 몬스터의사 김해골","9.90"
"887","옥탑빵","미용실 2층 옥탑빵 이야기","9.90"
"888","스페셜 게스트","순정시대","9.82"
"889","봄 비","학창시절 첫사랑","9.76"
"890","티안","모험 액션 판타지","9.86"
"891","옥탑방 갑남을녀","동거는 어려워","9.87"
"892","상상클럽","우리들의 상상이야기","9.86"
"893","사적인 거리","사적인 애들","9.86"
"894","돌아와 리즈!","리즈시절로 되돌리기!","9.77"
"895","나이베디야","소녀의 성장 판타지","9.85"
"896","우리집","성장 드라마","9.72"
"897","마음을 훔치는 여자","사람의 마음을 훔칠 수 있다면?","9.73"
"898","스프토랑","그냥 스프집이야기","9.77"
"899","오늘,응","꿈꾸는 프리랜서 응의 소소한 오늘.(자유연재)","9.77"
"900","돌팔이 작명소","이름 지어드립니다","9.57"
"901","골란기-시발섬의 식인종들-","[판타지] 천상 대전쟁","9.79"
"902","궁디팡팡 토로토로","고양이 일상툰","9.28"
"903","너란 꽃을 피워줘","순정 판타지","9.80"
"904","검의계승자","7개의 검과 그 검들이 존재하는 이유","9.88"
"905","그대 첫사랑","내 친구의 남자친구","9.87"
"906","LOVE FIVE!","체육과에서 펼쳐지는 좌충우돌 러브스토리","8.92"
"907","매구인게 어때서?!","판타지 러브코미디","9.84"
"908","오늘도 버섯전골","버섯인간들에 인간같은 일상 이야기","9.52"
"909","내손잡아줄사람","리메이크","9.83"
"910","걸어서 30분","매주 금요일 귀갓길 30분 동안의 학원 로맨스","9.90"
"911","오타쿠의 일상","오타쿠의일상","9.73"
"912","무쇠","삐뚤어진 <갑조선>아 기다려라. 무쇠가 간다.","9.78"
"913","전염소녀","행복은 전염된다.","9.86"
"914","바람을 실은 메아리","세상을 속인 스캔들","9.52"
"915","암흑도시","개그하는 조폭.","8.91"
"916","청춘고딩","이러쿵저러쿵","9.68"
"917","우리 오빠는 아이돌!","덕계못이라고?!","9.84"
"918","후크","후크의 혁명기","9.87"
"919","식물생활","초록초록한 일상 만나기","9.80"
"920","루턴 -past story-","10년간의 혁명 이야기.","9.85"
"921","그래일기","그래이야기","9.87"
"922","잘지내나요?","잘지내나요?","9.80"
"923","그림그리기 좋은날","만화같은 로맨스","9.89"
"924","바퀴!","에나멜, 링크, 쉐퍼드","9.57"
"925","은해갑을깝치","은해, 갑! 깝치, 을!","9.25"
"926","좋아하는부분","빠져드는 부분","9.87"
"927","붉은끈","귀신을 보는 두 남자 이야기","9.76"
"928","집사람","보통 집사람의 짧은 하루이야기","9.87"
"929","떠나가리","어디로든 떠나는 가리의 여행이야기!!","9.54"
"930","플라워","소년소녀들의 이야기.","9.67"
"931","간떨어지는 동거","구미호와 동거하기","9.87"
"932","연필의 각도","선생님과 제자","9.87"
"933","얀카툰","4컷 개그 판타지","8.85"
"934","원주민 공포만화","공포, 기가 막힌반전","9.84"
"935","지울 수 있을까?","과거로 인한 트라우마, 반복되는 꿈. 과연 지울 수 있을까?","9.90"
"936","롼든girl","철없는 서울 촌녀자의 세상사는 이야기","9.58"
"937","애니멀 팜!","반은 동물, 반은 인간.","9.87"
"938","어항속 꽃밭","어항속 꽃밭","9.85"
"939","발렌타인데이","남자는 모르지만 여자가되면 알수있을지도?!","9.69"
"940","헌댁이 되기전에","백수 부부와 길바닥 출신 고양이의 평범한(?) 일상툰","9.79"
"941","스쿱스","우주모험활극!","9.55"
"942","망상되감기","아이들은 성장한다.","9.91"
"943","고양이와 집사","조금은 특별한 반려동물 이야기.","9.74"
"944","꾸까는 엉망진창","꼬마마녀 의 일상","9.86"
"945","하아의 하루","강아지 일상툰!","9.86"
"946","너를 싫어하는 방법","이것 참 난감한 짝사랑","9.90"
"947","주부 1.5단","주부아닌 주부이야기","9.83"
"948","IDOL FAN","은둔형 외톨이인 성하는 KEZZ의 팬사인회에 가기 위해 집 밖으로 나오게 되는데..","9.56"
"949","그대라서","ich liebe dich","9.87"
"950","북극의 밤","어느 한 천재 소녀 작가가 겪게되는 10개월 동안의 비밀 이야기","9.56"
"951","데드위크 [Dead Week]","미드풍 액션 좀비물","9.79"
"952","언원티드","찐따↔전세계 재벌1위","9.88"
"953","찬란하지 않아도 괜찮아","찬란해야 할 것 같은 청춘, 하지만","9.79"
"954","사이클","포스트 아포칼립스","9.88"
"955","닥터관찰일지","좀비와 동고동락","9.86"
"956","봉쥬르보리","봉쥬르","9.36"
"957","스타더스트","우주구조대!버텨라!!2년!!","8.88"
"958","별의아씨","-","9.61"
"959","왕과 나","조선시대 학교생활","9.85"
"960","식욕 로맨스","먹잇감 여주와 본격인간먹방?남주","9.88"
"961","우리집에 놀러와!!","이상한 애들이다","9.85"
"962","불꽃에 휘날리다","최초의 소방 극화","9.84"
"963","아라비안 스위트","사막에서 벌어지는 순정 판타지","9.79"
"964","소시민","소심하고 잔망스러운 일상사","9.88"
"965","경계인","어둠에 속해있던 명준은 빛의 세상으로 들어갈 수 있을까.","9.59"
"966","달빛속에 그대가","조용한 시골 마을. 알비노 소녀. 평범한듯 평범하지 못한 삶.","9.87"
"967","여우들","작은 도둑들이 세상을 부순다. 여우들이라 불리는 도둑들의 이야기...","9.48"
"968","페툰 (People and People Toon)","판타지 연애툰","9.77"
"969","아가씨와 우렁총각","커리어우먼/살림남","9.88"
"970","푸른사막 아아루","순정판타지","9.89"
"971","격이 다른 남자","그 남자의 이야기.","9.88"
"972","연애학","나에게 필승법이 있어","9.29"
"973","요괴백정","리메이크","9.85"
"974","진지한 고교생!!","진지한 학생들의 학원 청춘 코미디","9.82"
"975","아무 마을 대잔치","아무 마을, 아무 생각, 아무 말","9.86"
"976","잊지 말아요","초능력 판타지 드라마","9.86"
"977","아머나이트","수인 / 판타지 액션","9.78"
"978","30일후","미래를 알게 된 남자 자신의 운명에 맞서다.","9.73"
"979","매일 참는 남자","남자라면 참고 살아야 할 것들이 너무 많다.. 그 중 가장 힘든 건...","9.64"
"980","기묘한 기담","오래된 주술과 금지된 것들에 대한 이야기...","9.87"
"981","과격자매단","자매들의 일상 캐기","9.89"
"982","끝과 시작","맴찢남 세정의 이야기","9.89"
"983","달리다굼","빛을 지닌 소녀","9.85"
"984","호됴됴됴","반려견 개그일상툰","9.89"
"985","정글라이프","절망과 희망사이","9.84"
"986","바람도 그릴 수 있다면","쿠바에서 사는 이야기","9.66"
"987","봉다리","동네농구 이야기","9.62"
"988","에이디","에이디","9.86"
"989","그루버","본격! RPG 만화!! 그루브를 아는 그루버들의 와일드한 어드벤쳐!!","9.15"
"990","초하루 밤의 달맞이꽃","할게요, 신.","9.79"
"991","무역의 왕","목요 업데이트!!","7.38"
"992","내일","죽음을 막는 저승사자들","9.89"
"993","트위너","전국민 농구 대회","9.84"
"994","살인방귀","코믹 웹툰","9.69"
"995","가가와 자반이","평범한 우리 가족","9.64"
"996","귀엽잖아","귀여운 만화","9.86"
"997","하엔","추리/판타지/SF","9.60"
"998","헤이노르딕","스물아홉, 북유럽 여행~","9.86"
"999","용사갑,마왕을","갑을 관계의 그들","9.88"
"1000","그냥조금불편할뿐인데","장애인의 꿈과 사랑","9.88"
"1001","쓰리스쿨즈","이 동네 실세는 누구?","9.90"
"1002","스페로 스페라","사신 판타지","9.88"
"1003","행쇼","짝사랑","9.77"
"1004","나른해 별곰","나른한 이야기","8.81"
"1005","천진난만 알바인생","카페 알바 생활툰","9.90"
"1006","페탈(쥬브나일스)","탄생 메르헨","9.85"
"1007","매일, 제일","도저히 어울릴 수 없는 우리가...?","9.90"
"1008","뱀이 앉은 자리","정식연재공지","9.74"
"1009","모드스톤 살인사건","모드스톤 살인사건의 전말","9.69"
"1010","사여자","5일 연재♡","9.83"
"1011","중매결혼","중매로 결혼하(려)는 이야기","9.46"
"1012","마왕이 되는 중2야","마왕이 되는 중2","9.88"
"1013","나이트메어","상큼하게 무섭다!","9.84"
"1014","헨젤","지옥을 거니는 천사.","9.61"
"1015","꽃이 피면 우리는","이로와는 이로와!","9.87"
"1016","혼자사는여자","혼자사는여자의일상","9.85"
"1017","언더페인팅","로맨틱 성장 드라마","9.89"
"1018","단역: 아무개","단역이 주인공인 만화","9.83"
"1019","정상이되고싶어","정상의 친구만들기","9.86"
"1020","도시유사 현세전","판타지는 없습니다.","9.34"
"1021","검은새","검은새 - 퇴마 에피소드 (화요일 주간연재)","9.80"
"1022","웅덩이","3웅3색 이야기","9.13"
"1023","고고픽션","신세계","9.78"
"1024","용사의 딸","평범하게 살던 하나의 평범하지 않은 학교 적응기","9.77"
"1025","하늘하늘하늘!","현실 로맨스 판타지!","9.76"
"1026","연두툰","그 때가 그리우신 가요? 2000년대 초반 초등학생 연두의 공감되는 일상 (매주 금요일 연재)","9.72"
"1027","이역","이역의 이야기.","9.86"
"1028","내가 안했어요","살인사건 추리극","9.83"
"1029","GIMS","왜인지 장르가 많다","9.88"
"1030","네모네모-in dosi","네모네모","9.82"
"1031","달콤쌉싸름해","순정단편옴니버스","9.88"
"1032","출근했습니다","출근해서 퇴근까지","9.90"
"1033","하나린 하나린","환생세계 판타지!","9.88"
"1034","귀전구담","귀신이 전하는 이야기","9.90"
"1035","헝그리 블러드","신세대 드라큘라 가족의 이야기","9.82"
"1036","굥이의 하루","굥이의 하루","9.66"
"1037","피카앤부","피카와 부의 동화같은 일상 엿보기^^","9.84"
"1038","포르고드(FORGOD)","푸른빛의 판타지 드라마","9.86"
"1039","소년사이코","사이코소년인 사이코의 일상","9.62"
"1040","도담도담","신비한 능력을 가진 가족의 이야기","9.88"
"1041","해프닝","투믹스 연재중","9.85"
"1042","카타스트로피","공지","9.73"
"1043","날지못하는악마","날못악","9.89"
"1044","검은피의 도시","EP.D","9.86"
"1045","이것도 친구라고","파란만장한 청춘 라이프","9.88"
"1046","화귀","사람들이 사라진다","9.86"
"1047","쌍둥이부부일기","쌍둥이처럼 똑닮은 부부의 알콩달콩 개그일기","9.87"
"1048","범인에 대하여","아름답지 못할망정 질척이는 로맨스","9.87"
"1049","지구를 움직이는 소년들","Boys Be Ambitious","9.80"
"1050","RUN","영웅이 없는 세상... 스스로를 구원하기 위한 소년의 하드보일드 복수극!!","9.79"
"1051","블루믹 (BlueMIC)","연재분업데이트","9.88"
"1052","갑자기판타지","판타지책속으로 들어가다","9.85"
"1053","눈치없는 내 친구!","캠퍼스 이야기","9.84"
"1054","요스토리/죽음.그물","오랜만이에요","9.72"
"1055","눈꽃","나의 반려묘가 사람이라니","9.84"
"1056","생산직 툰","생산직 업무를 하면서 느낀 재미난 에피소드를 4컷 만화로 담았습니다.","9.85"
"1057","뷰티풀 싱글 라이프","이 남자가 만족하고 사는법","9.89"
"1058","숨비","동성애자, 몽상가, 가출 청소년","9.82"
"1059","겨울밤","묘단과 아람의 이야기","9.85"
"1060","나고야","밤 낮이 다른 여고생 작가의 은밀한 복수와 스릴넘치는 성장기","9.58"
"1061","흐려지지만 선명하게","인연에 관한 세가지 이야기","9.68"
"1062","무쇠 후라이팬","무쇠팬 쓰는 남자!!","9.90"
"1063","반지하셋방","자매의 자취생활","9.89"
"1064","로보택틱스","AOS 게임 판타지","9.78"
"1065","털털하지만 괜찮아!","조금 털털해도 난 좋아.","9.23"
"1066","드리머","액션판타지","9.41"
"1067","퇴마부","와플, 우냐","9.81"
"1068","셀프피쉬","당신의 물고기는","9.87"
"1069","인연입니까?","우리도 인연일까.","9.70"
"1070","구세의 블레이딩","소년과 소녀의 이야기","9.70"
"1071","신의 프시키온","운명에 맞서는 형제의 이야기.","9.84"
"1072","느루느루하게","스펙타클 하루일기","9.79"
"1073","구라디우스","판타지라이프","9.69"
"1074","보스 인 스쿨","Boss In School","9.88"
"1075","지구인입니다","외계인들 사이로 납치된 지구인","9.88"
"1076","오늘도 형제는 평화롭다","돈독한 형제들","9.89"
"1077","하이퍼(HYPER)","히어로 서바이벌 오디션","9.46"
"1078","그림자 가족","가족의 그림자가 되어 살아가는 사람들의 상처를 다룬 이야기","9.90"
"1079","모아이 스토리","모아이와 친구들의 일상이야기","9.86"
"1080","김치걸 x 밀크티보이","한국여자+홍콩남자","9.86"
"1081","스피크업 히어로","판타지 액션 히어로.","9.55"
"1082","페더","무릉도원 판타지","9.86"
"1083","사신기","사신을 사랑한 인간","9.80"
"1084","우리집에 곰이 이사왔다","마법의 숲,테바의 최정예 요원 곰토토! 국가의 명령으로 인간 세상으로 파견되었다. 털북숭이계의 에이스, 곰토토의 파란만장한 인간세상 개고생 라이프!","9.89"
"1085","얼티미터","궁극에 선 자","9.90"
"1086","위기의 왕씨형제들","위왕이 돌아왔다!!","9.87"
"1087","천사에게는 날개가 없다","인간이 되어 버린 천사와 영혼을 잃어버린 소녀","9.87"
"1088","히어로망스","로망스작가의 모험","9.85"
"1089","꿀밤","허니 나이트.","9.86"
"1090","눈꽃의 심장","장르 파괴 액션물","9.74"
"1091","버기버그","곤충들의 마법소녀 버기!","9.86"
"1092","하제","신의 아이와의 기담","9.87"
"1093","랑앤마눌","부부의 에피소드","9.79"
"1094","위 아 애니멀스","동물이 되어","9.87"
"1095","아침식사 됩니다","반요들의 일상이야기","9.88"
"1096","본격 연애 이야기!","코믹 공감 연애물","9.74"
"1097","금지클럽","금단의사랑","9.72"
"1098","그녀는 나를 싫어해","하지만 나는 그녀를..","9.89"
"1099","라인리스 :: Lineless","Lineless","9.85"
"1100","유만즈","심장 없는 엑소시스트","9.85"
"1101","뷰티어스 인","오드아이(ODD EYE)","7.55"
"1102","괭씨의 나태한 세상","겨털로 감정표현","9.63"
"1103","기억들","기억을 읽는 남자와 기억을 숨기는 여자, 그리고 죽은 이들의 기억에 관한 이야기.","9.89"
"1104","소년의 신성","소년 무신을 만나다.","9.85"
"1105","글라디우스 프로젝트","헤레틱과 인간","9.88"
"1106","투명 매니큐어를 바르는 승무원","현직 승무원 로나의 사막비행일지","9.88"
"1107","숙이네 이야기","오독이들(다섯강아지), 빠다언니, 숙이가 함께 살며 겪어가는 즐거운 에피소드가 있는 곳","9.82"
"1108","칼로리메트리","로맨스 스릴러","9.75"
"1109","기생하는 심장","감정과 관계에 관한 이야기들","9.86"
"1110","너를 잃는 숲","숲에 들어가지 마렴, 소중한 걸 잃게 된단다."" 경고를 무시하고 들어선 숲에서 시엘은 의문의 소녀인 로사나를 만나게 되는데...","9.82"
"1111","일코선생","""인생이 덕질에 방해가 된다"" - 완벽한 선생의 이중생활","9.88"
"1112","마법사와 꼬마","운명일까?","9.84"
"1113","화이트데이","너흰 그냥 친구야!!","9.30"
"1114","산타라떼(Santa Latte)","리메이크","9.86"
"1115","메리의 미쿡 정복기","먼 타지땅에서 한국인의 끈기로 성공하는 메리","9.81"
"1116","공감없는이야기","약간파랗의 공감없는이야기","9.00"
"1117","이웃집의 스토커군","훈남 스토커가 옆집에 산다.","9.63"
"1118","페이트","수명을 보는 남자","9.72"
"1119","예쁘니까 괜찮아","전학생 영희가 온다!","9.87"
"1120","새벽에 듣는 만화","새벽감성 노래만화","9.87"
"1121","화요일에 죽는 남자","화요일에 죽는 남자","9.58"
"1122","짐승뎐","연재중지","9.87"
"1123","안녕하세요 간호사입니다","나는 남자간호사다","9.84"
"1124","떡볶이 가게 아가씨","떡볶이 가게 사장님 희란이 이야기","8.66"
"1125","트윙클","내여친은 5살 아역스타","9.52"
"1126","작심삼일 운동툰","넓고 얕은 그녀의 운동기","9.78"
"1127","코르보(Corvo)","먹거나 먹히거나.","9.86"
"1128","편집자","누군가 당신을 훔쳐보고 있다","9.60"
"1129","아빠 내일은 뭐하고 놀까?","조금은 특별한 아버지와 아들의 이야기","9.80"
"1130","신혼의 맛","갑질하는 아내 VS 을질하는 남편, 평생 신혼처럼 살기로 작정하다!! 과연?!","9.00"
"1131","동아리방 202호","개성 넘치는 7명의 동아리이야기(자유연재)","9.87"
"1132","사이트 인 킬러","잔혹 판타지","9.86"
"1133","레드헤링","슬럼가에서 사는 사람들","9.66"
"1134","연애고자 모하나","망한 연애들 이야기","9.85"
"1135","한국인이다","한국인이다","9.80"
"1136","올빼미집","안녕하세요 올빼미입니다. 언제나처럼 카툰으로 찾아뵙겠습니다.","9.09"
"1137","오늘의 퇴마","오늘의 퇴마","9.87"
"1138","환상동화 모음집","어른을 위한 동화","9.65"
"1139","4번째 세계","만 이천년 전의 사랑이야기","9.59"
"1140","마당개의 인생","개와 소년의 우정과 모험","9.73"
"1141","빗자루도깨비 태비","도깨비 이야기","9.87"
"1142","병원에서온그대","소아청소년과 전공의와 연애하듯 살아가는 일상툰","9.74"
"1143","잭(J.a.c.k)","돌아왔습니다!","9.21"
"1144","열정호구","사회초년생 수난기","9.87"
"1145","솔로인커플","4x4컷 황당로맨스","9.85"
"1146","플라즈마걸스","우주경찰 소녀들","9.84"
"1147","에스프레소 케이크","“나는 그날, 차민재를 만난 뒤 끊었던 담배를 다시 피우기 시작했다.”","9.86"
"1148","그 중에 나는 없었다","그 아이의 시선에는 내가 있을까?","9.87"
"1149","렝드","판타지 드라마","9.85"
"1150","청춘의 모퉁이","서툰 어른, 30대. 청춘의 모퉁이에 서 있는 그들의 이야기 (월,목 연재)","9.85"
"1151","오늘도 핸드메이드!","딱히 쓸모없지만, 매일 해도 좋으니까","9.86"
"1152","말랑말랑인생","말랑말랑한 인생이야기.","9.85"
"1153","막순이","막순의 애틋한 첫사랑","9.85"
