"","title_c","sum_c","score_c"
"1","A - STUDENT(모범생)","사악한 본성","9.83"
"2","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"3","홈 스윗 홈","네식구 사는 이야기","9.85"
"4","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"5","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"6","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"7","선선한 이야기","프리랜선선","9.68"
"8","일상견문록","다른나라 일상이야기","9.85"
"9","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"10","카나와 초나의 독일","독일 유학 생존기","9.89"
"11","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"12","다 이아리","데이트폭력에 관하여","9.84"
"13","식인귀","괴물이 보인다","9.77"
"14","저승파견고용직","기묘한 만화","9.92"
"15","검은 늑대","검은 늑대","9.87"
"16","제목이 7080 만화","7080 이야기","9.90"
"17","하루와 모레","일상 이야기 :)","9.68"
"18","올어바웃 You","봉카의 외노자인생","9.87"
"19","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"20","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"21","외국 in 한국","영국인의한국생활","9.87"
"22","중딩툰","중딩이 그리는 웹툰","9.46"
"23","파리스의 선택","그리스 신화 회귀물","9.93"
"24","아옹아옹","두식이 냥육일기","9.92"
"25","그를 좋아한다","그는 누구일까","9.71"
"26","3구역 숲","코아의 특별함","9.49"
"27","우주의 수호천사","우주의 수호천사!","9.88"
"28","멜팅 포인트","","9.78"
"29","등교하는 근식이","목숨을 건 개근일기","9.89"
"30","슬픔을 먹는 남자","성장물,감성,판타지","9.92"
"31","미용사 : LOST HERO","전직용사현직미용사!","9.72"
"32","어느 남고생의 하루","말하는강아지와의일상","9.89"
"33","소녀가 여행하는 법 2 베트남 프렌즈 여행기","여행장려웹툰","9.86"
"34","당신의 한 순간","#심리#영혼#힐링","9.78"
"35","달콤한 비밀 연애","사내연애 후  일상","9.67"
"36","루이와 졸개들 R","나만알고싶은 양아치","9.79"
"37","시크릿가족","성교육웹툰!!","9.88"
"38","그날, 우리들의 여름.","격주 연재합니다.","9.85"
"39","네가 꿈꾸는 동안에","꿈으로 드러난 범죄","9.92"
"40","다시 돌아온","다시 돌아온","9.74"
"41","헌트","어디에 있는가","9.64"
"42","리프로듀싱","내가 여자 아이돌?","9.60"
"43","오! 덕후를 위하여","덕심충만, 취향존중!","9.89"
"44","나는 부활 마법을 가졌다","부활판타지","9.86"
"45","Twins Love Story (트윈스 러브 스토리)","쌍둥이의 사랑이야기","9.87"
"46","인더하우스","동거 로맨스","9.84"
"47","만가","란의 성장 판타지.","9.48"
"48","마법약사","포션장사하는 이야기","9.95"
"49","오마이레이스(Oh! my lace)","아주 강력한 쇼핑몰이 온다!!!","9.74"
"50","봄봄","봄봄","9.75"
"51","내일은 만화왕","본격입시만화만화","9.71"
"52","낙원이야기","SF샤머니즘","8.18"
"53","양의 향수병","어른 동화","9.55"
"54","세가지색 클로버","3가지 인격의 주인공이 펼치는 액션만화~","9.54"
"55","지구방위 연구소","본격 4컷만화","9.74"
"56","델리의 말랑말랑","외로워도 슬퍼도 나는 안울어-","9.03"
"57","자취주부男 만화일기 / 금속문어","금속문어 - 자취주부男 만화일기","9.76"
"58","마녀가 되다.","도전!도전!","9.63"
"59","설뫼뎐","바위의 모험이야기!","9.75"
"60","기적이운다","기적이운다 연재공지","9.39"
"61","흑색논란","인간과 종(種)이 된 인간들의 전쟁","9.69"
"62","여자만화[구두]","여자만화","9.74"
"63","배추걸다이어리","나는야 미녀 배추걸","9.75"
"64","별과 바람과 꽃길의 왈츠","소년과 소녀의 모험 이야기","9.69"
"65","YUGA","뭐든지 다 이유가 있는 거 아니겠어?","9.69"
"66","조선명탐정 진현군","가상국 조선에서 추리세계가 펼쳐진다","9.77"
"67","라에스토나 (La Estona)","New Estona Project","9.63"
"68","쳇 세렌디피티","라 돌체비타","9.08"
"69","개와나","bye~","9.69"
"70","Guardian","수호자","9.75"
"71","어쿠스틱라이프",":","9.57"
"72","스물일곱","감동로맨스","9.56"
"73","엘레프","※예수시대의 제사장을 주인공으로 한 만화입니다.특정 종교를 폄하하려는 의도로 그려진 것이 아님을 미리 말씀드립니다. ---------","9.73"
"74","묵회","즐겁게 보아주세요. http://bongdal.org","9.39"
"75","가족사진","미스테리 가족드라마","8.87"
"76","연옥님이 보고계셔","언제 어디서나 어떻게든 나를 보고 있는 존재라면.","9.62"
"77","스쿨라이프","스쿨라이프","9.37"
"78","이그니션","후기","8.04"
"79","천짜의 동동다리","설렘없는 날 찾아오는 봄날의 진눈깨비, 천짜의 아으동동다리","7.02"
"80","블랙젤리","젠체의 일상속으로...","6.75"
"81","다이어트 뻬띠슈","다이어트하는 돼지의 슬프도록 아름다운 스토리","7.74"
"82","[실화] 사랑하니까 시즌1","사랑하니까는 20대의슬픈사랑이야기에 올라온 사연을 바탕으로 만든 카툰에세이 입니다","9.76"
"83","스풍동산","꿈과 희망의 스풍동산","7.20"
"84","도레미친만화","대게 실화이거나 팬분들이 보내주신 소재를 가지고 만화를 그립니다.","6.96"
"85","반쪽짜리 이야기","반쪽짜리 이야기","8.45"
"86","야도닷껌","야도닷껌","5.52"
"87","포토쥬스","누똥바의 포토쥬스","6.40"
"88","김모군의 일기","김모군의 일기","7.17"
"89","[지냥이] 친절한 '공익'씨","공감개그만화","5.15"
"90","엘레프","※예수시대의 제사장을 주인공으로 한 만화입니다.특정 종교를 폄하하려는 의도로 그려진 것이 아님을 미리 말씀드립니다. ---------","9.73"
"91","묵회","즐겁게 보아주세요. http://bongdal.org","9.39"
"92","가족사진","미스테리 가족드라마","8.87"
"93","연옥님이 보고계셔","언제 어디서나 어떻게든 나를 보고 있는 존재라면.","9.62"
"94","스쿨라이프","스쿨라이프","9.37"
"95","이그니션","후기","8.04"
"96","천짜의 동동다리","설렘없는 날 찾아오는 봄날의 진눈깨비, 천짜의 아으동동다리","7.02"
"97","블랙젤리","젠체의 일상속으로...","6.75"
"98","다이어트 뻬띠슈","다이어트하는 돼지의 슬프도록 아름다운 스토리","7.74"
"99","[실화] 사랑하니까 시즌1","사랑하니까는 20대의슬픈사랑이야기에 올라온 사연을 바탕으로 만든 카툰에세이 입니다","9.76"
"100","스풍동산","꿈과 희망의 스풍동산","7.20"
"101","도레미친만화","대게 실화이거나 팬분들이 보내주신 소재를 가지고 만화를 그립니다.","6.96"
"102","반쪽짜리 이야기","반쪽짜리 이야기","8.45"
"103","야도닷껌","야도닷껌","5.52"
"104","포토쥬스","누똥바의 포토쥬스","6.40"
"105","김모군의 일기","김모군의 일기","7.17"
"106","[지냥이] 친절한 '공익'씨","공감개그만화","5.15"
"107","엘레프","※예수시대의 제사장을 주인공으로 한 만화입니다.특정 종교를 폄하하려는 의도로 그려진 것이 아님을 미리 말씀드립니다. ---------","9.73"
"108","묵회","즐겁게 보아주세요. http://bongdal.org","9.39"
"109","가족사진","미스테리 가족드라마","8.87"
"110","연옥님이 보고계셔","언제 어디서나 어떻게든 나를 보고 있는 존재라면.","9.62"
"111","스쿨라이프","스쿨라이프","9.37"
"112","이그니션","후기","8.04"
"113","천짜의 동동다리","설렘없는 날 찾아오는 봄날의 진눈깨비, 천짜의 아으동동다리","7.02"
"114","블랙젤리","젠체의 일상속으로...","6.75"
"115","다이어트 뻬띠슈","다이어트하는 돼지의 슬프도록 아름다운 스토리","7.74"
"116","[실화] 사랑하니까 시즌1","사랑하니까는 20대의슬픈사랑이야기에 올라온 사연을 바탕으로 만든 카툰에세이 입니다","9.76"
"117","스풍동산","꿈과 희망의 스풍동산","7.20"
"118","도레미친만화","대게 실화이거나 팬분들이 보내주신 소재를 가지고 만화를 그립니다.","6.96"
"119","반쪽짜리 이야기","반쪽짜리 이야기","8.45"
"120","야도닷껌","야도닷껌","5.52"
"121","포토쥬스","누똥바의 포토쥬스","6.40"
"122","김모군의 일기","김모군의 일기","7.17"
"123","[지냥이] 친절한 '공익'씨","공감개그만화","5.15"
"124","엘레프","※예수시대의 제사장을 주인공으로 한 만화입니다.특정 종교를 폄하하려는 의도로 그려진 것이 아님을 미리 말씀드립니다. ---------","9.73"
"125","묵회","즐겁게 보아주세요. http://bongdal.org","9.39"
"126","가족사진","미스테리 가족드라마","8.87"
"127","연옥님이 보고계셔","언제 어디서나 어떻게든 나를 보고 있는 존재라면.","9.62"
"128","스쿨라이프","스쿨라이프","9.37"
"129","이그니션","후기","8.04"
"130","천짜의 동동다리","설렘없는 날 찾아오는 봄날의 진눈깨비, 천짜의 아으동동다리","7.02"
"131","블랙젤리","젠체의 일상속으로...","6.75"
"132","다이어트 뻬띠슈","다이어트하는 돼지의 슬프도록 아름다운 스토리","7.74"
"133","[실화] 사랑하니까 시즌1","사랑하니까는 20대의슬픈사랑이야기에 올라온 사연을 바탕으로 만든 카툰에세이 입니다","9.76"
"134","스풍동산","꿈과 희망의 스풍동산","7.20"
"135","도레미친만화","대게 실화이거나 팬분들이 보내주신 소재를 가지고 만화를 그립니다.","6.96"
"136","반쪽짜리 이야기","반쪽짜리 이야기","8.45"
"137","야도닷껌","야도닷껌","5.52"
"138","포토쥬스","누똥바의 포토쥬스","6.40"
"139","김모군의 일기","김모군의 일기","7.17"
"140","[지냥이] 친절한 '공익'씨","공감개그만화","5.15"
"141","엘레프","※예수시대의 제사장을 주인공으로 한 만화입니다.특정 종교를 폄하하려는 의도로 그려진 것이 아님을 미리 말씀드립니다. ---------","9.73"
"142","묵회","즐겁게 보아주세요. http://bongdal.org","9.39"
"143","가족사진","미스테리 가족드라마","8.87"
"144","연옥님이 보고계셔","언제 어디서나 어떻게든 나를 보고 있는 존재라면.","9.62"
"145","스쿨라이프","스쿨라이프","9.37"
"146","이그니션","후기","8.04"
"147","천짜의 동동다리","설렘없는 날 찾아오는 봄날의 진눈깨비, 천짜의 아으동동다리","7.02"
"148","블랙젤리","젠체의 일상속으로...","6.75"
"149","다이어트 뻬띠슈","다이어트하는 돼지의 슬프도록 아름다운 스토리","7.74"
"150","[실화] 사랑하니까 시즌1","사랑하니까는 20대의슬픈사랑이야기에 올라온 사연을 바탕으로 만든 카툰에세이 입니다","9.76"
"151","스풍동산","꿈과 희망의 스풍동산","7.20"
"152","도레미친만화","대게 실화이거나 팬분들이 보내주신 소재를 가지고 만화를 그립니다.","6.96"
"153","반쪽짜리 이야기","반쪽짜리 이야기","8.45"
"154","야도닷껌","야도닷껌","5.52"
"155","포토쥬스","누똥바의 포토쥬스","6.40"
"156","김모군의 일기","김모군의 일기","7.17"
"157","[지냥이] 친절한 '공익'씨","공감개그만화","5.15"
"158","엘레프","※예수시대의 제사장을 주인공으로 한 만화입니다.특정 종교를 폄하하려는 의도로 그려진 것이 아님을 미리 말씀드립니다. ---------","9.73"
"159","묵회","즐겁게 보아주세요. http://bongdal.org","9.39"
"160","가족사진","미스테리 가족드라마","8.87"
"161","연옥님이 보고계셔","언제 어디서나 어떻게든 나를 보고 있는 존재라면.","9.62"
"162","스쿨라이프","스쿨라이프","9.37"
"163","이그니션","후기","8.04"
"164","천짜의 동동다리","설렘없는 날 찾아오는 봄날의 진눈깨비, 천짜의 아으동동다리","7.02"
"165","블랙젤리","젠체의 일상속으로...","6.75"
"166","다이어트 뻬띠슈","다이어트하는 돼지의 슬프도록 아름다운 스토리","7.74"
"167","[실화] 사랑하니까 시즌1","사랑하니까는 20대의슬픈사랑이야기에 올라온 사연을 바탕으로 만든 카툰에세이 입니다","9.76"
"168","스풍동산","꿈과 희망의 스풍동산","7.20"
"169","도레미친만화","대게 실화이거나 팬분들이 보내주신 소재를 가지고 만화를 그립니다.","6.96"
"170","반쪽짜리 이야기","반쪽짜리 이야기","8.45"
"171","야도닷껌","야도닷껌","5.52"
"172","포토쥬스","누똥바의 포토쥬스","6.40"
"173","김모군의 일기","김모군의 일기","7.17"
"174","[지냥이] 친절한 '공익'씨","공감개그만화","5.15"
"175","엘레프","※예수시대의 제사장을 주인공으로 한 만화입니다.특정 종교를 폄하하려는 의도로 그려진 것이 아님을 미리 말씀드립니다. ---------","9.73"
"176","묵회","즐겁게 보아주세요. http://bongdal.org","9.39"
"177","가족사진","미스테리 가족드라마","8.87"
"178","연옥님이 보고계셔","언제 어디서나 어떻게든 나를 보고 있는 존재라면.","9.62"
"179","스쿨라이프","스쿨라이프","9.37"
"180","이그니션","후기","8.04"
"181","천짜의 동동다리","설렘없는 날 찾아오는 봄날의 진눈깨비, 천짜의 아으동동다리","7.02"
"182","블랙젤리","젠체의 일상속으로...","6.75"
"183","다이어트 뻬띠슈","다이어트하는 돼지의 슬프도록 아름다운 스토리","7.74"
"184","[실화] 사랑하니까 시즌1","사랑하니까는 20대의슬픈사랑이야기에 올라온 사연을 바탕으로 만든 카툰에세이 입니다","9.76"
"185","스풍동산","꿈과 희망의 스풍동산","7.20"
"186","도레미친만화","대게 실화이거나 팬분들이 보내주신 소재를 가지고 만화를 그립니다.","6.96"
"187","반쪽짜리 이야기","반쪽짜리 이야기","8.45"
"188","야도닷껌","야도닷껌","5.52"
"189","포토쥬스","누똥바의 포토쥬스","6.40"
"190","김모군의 일기","김모군의 일기","7.17"
"191","[지냥이] 친절한 '공익'씨","공감개그만화","5.15"
"192","A - STUDENT(모범생)","사악한 본성","9.83"
"193","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"194","홈 스윗 홈","네식구 사는 이야기","9.85"
"195","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"196","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"197","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"198","선선한 이야기","프리랜선선","9.68"
"199","일상견문록","다른나라 일상이야기","9.85"
"200","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"201","카나와 초나의 독일","독일 유학 생존기","9.89"
"202","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"203","다 이아리","데이트폭력에 관하여","9.84"
"204","식인귀","괴물이 보인다","9.77"
"205","저승파견고용직","기묘한 만화","9.92"
"206","검은 늑대","검은 늑대","9.87"
"207","제목이 7080 만화","7080 이야기","9.90"
"208","하루와 모레","일상 이야기 :)","9.68"
"209","올어바웃 You","봉카의 외노자인생","9.87"
"210","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"211","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"212","외국 in 한국","영국인의한국생활","9.87"
"213","중딩툰","중딩이 그리는 웹툰","9.46"
"214","파리스의 선택","그리스 신화 회귀물","9.93"
"215","아옹아옹","두식이 냥육일기","9.92"
"216","A - STUDENT(모범생)","사악한 본성","9.83"
"217","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"218","홈 스윗 홈","네식구 사는 이야기","9.85"
"219","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"220","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"221","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"222","선선한 이야기","프리랜선선","9.68"
"223","일상견문록","다른나라 일상이야기","9.85"
"224","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"225","카나와 초나의 독일","독일 유학 생존기","9.89"
"226","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"227","다 이아리","데이트폭력에 관하여","9.84"
"228","식인귀","괴물이 보인다","9.77"
"229","저승파견고용직","기묘한 만화","9.92"
"230","검은 늑대","검은 늑대","9.87"
"231","제목이 7080 만화","7080 이야기","9.90"
"232","하루와 모레","일상 이야기 :)","9.68"
"233","올어바웃 You","봉카의 외노자인생","9.87"
"234","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"235","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"236","외국 in 한국","영국인의한국생활","9.87"
"237","중딩툰","중딩이 그리는 웹툰","9.46"
"238","파리스의 선택","그리스 신화 회귀물","9.93"
"239","아옹아옹","두식이 냥육일기","9.92"
"240","A - STUDENT(모범생)","사악한 본성","9.83"
"241","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"242","홈 스윗 홈","네식구 사는 이야기","9.85"
"243","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"244","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"245","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"246","선선한 이야기","프리랜선선","9.68"
"247","일상견문록","다른나라 일상이야기","9.85"
"248","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"249","카나와 초나의 독일","독일 유학 생존기","9.89"
"250","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"251","다 이아리","데이트폭력에 관하여","9.84"
"252","식인귀","괴물이 보인다","9.77"
"253","저승파견고용직","기묘한 만화","9.92"
"254","검은 늑대","검은 늑대","9.87"
"255","제목이 7080 만화","7080 이야기","9.90"
"256","하루와 모레","일상 이야기 :)","9.68"
"257","올어바웃 You","봉카의 외노자인생","9.87"
"258","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"259","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"260","외국 in 한국","영국인의한국생활","9.87"
"261","중딩툰","중딩이 그리는 웹툰","9.46"
"262","파리스의 선택","그리스 신화 회귀물","9.93"
"263","아옹아옹","두식이 냥육일기","9.92"
"264","A - STUDENT(모범생)","사악한 본성","9.83"
"265","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"266","홈 스윗 홈","네식구 사는 이야기","9.85"
"267","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"268","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"269","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"270","선선한 이야기","프리랜선선","9.68"
"271","일상견문록","다른나라 일상이야기","9.85"
"272","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"273","카나와 초나의 독일","독일 유학 생존기","9.89"
"274","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"275","다 이아리","데이트폭력에 관하여","9.84"
"276","식인귀","괴물이 보인다","9.77"
"277","저승파견고용직","기묘한 만화","9.92"
"278","검은 늑대","검은 늑대","9.87"
"279","제목이 7080 만화","7080 이야기","9.90"
"280","하루와 모레","일상 이야기 :)","9.68"
"281","올어바웃 You","봉카의 외노자인생","9.87"
"282","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"283","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"284","외국 in 한국","영국인의한국생활","9.87"
"285","중딩툰","중딩이 그리는 웹툰","9.46"
"286","파리스의 선택","그리스 신화 회귀물","9.93"
"287","아옹아옹","두식이 냥육일기","9.92"
"288","A - STUDENT(모범생)","사악한 본성","9.83"
"289","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"290","홈 스윗 홈","네식구 사는 이야기","9.85"
"291","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"292","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"293","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"294","선선한 이야기","프리랜선선","9.68"
"295","일상견문록","다른나라 일상이야기","9.85"
"296","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"297","카나와 초나의 독일","독일 유학 생존기","9.89"
"298","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"299","다 이아리","데이트폭력에 관하여","9.84"
"300","식인귀","괴물이 보인다","9.77"
"301","저승파견고용직","기묘한 만화","9.92"
"302","검은 늑대","검은 늑대","9.87"
"303","제목이 7080 만화","7080 이야기","9.90"
"304","하루와 모레","일상 이야기 :)","9.68"
"305","올어바웃 You","봉카의 외노자인생","9.87"
"306","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"307","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"308","외국 in 한국","영국인의한국생활","9.87"
"309","중딩툰","중딩이 그리는 웹툰","9.46"
"310","파리스의 선택","그리스 신화 회귀물","9.93"
"311","아옹아옹","두식이 냥육일기","9.92"
"312","A - STUDENT(모범생)","사악한 본성","9.83"
"313","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"314","홈 스윗 홈","네식구 사는 이야기","9.85"
"315","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"316","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"317","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"318","선선한 이야기","프리랜선선","9.68"
"319","일상견문록","다른나라 일상이야기","9.85"
"320","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"321","카나와 초나의 독일","독일 유학 생존기","9.89"
"322","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"323","다 이아리","데이트폭력에 관하여","9.84"
"324","식인귀","괴물이 보인다","9.77"
"325","저승파견고용직","기묘한 만화","9.92"
"326","검은 늑대","검은 늑대","9.87"
"327","제목이 7080 만화","7080 이야기","9.90"
"328","하루와 모레","일상 이야기 :)","9.68"
"329","올어바웃 You","봉카의 외노자인생","9.87"
"330","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"331","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"332","외국 in 한국","영국인의한국생활","9.87"
"333","중딩툰","중딩이 그리는 웹툰","9.46"
"334","파리스의 선택","그리스 신화 회귀물","9.93"
"335","아옹아옹","두식이 냥육일기","9.92"
"336","A - STUDENT(모범생)","사악한 본성","9.83"
"337","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"338","홈 스윗 홈","네식구 사는 이야기","9.85"
"339","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"340","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"341","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"342","선선한 이야기","프리랜선선","9.68"
"343","일상견문록","다른나라 일상이야기","9.85"
"344","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"345","카나와 초나의 독일","독일 유학 생존기","9.89"
"346","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"347","다 이아리","데이트폭력에 관하여","9.84"
"348","식인귀","괴물이 보인다","9.77"
"349","저승파견고용직","기묘한 만화","9.92"
"350","검은 늑대","검은 늑대","9.87"
"351","제목이 7080 만화","7080 이야기","9.90"
"352","하루와 모레","일상 이야기 :)","9.68"
"353","올어바웃 You","봉카의 외노자인생","9.87"
"354","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"355","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"356","외국 in 한국","영국인의한국생활","9.87"
"357","중딩툰","중딩이 그리는 웹툰","9.46"
"358","파리스의 선택","그리스 신화 회귀물","9.93"
"359","아옹아옹","두식이 냥육일기","9.92"
"360","A - STUDENT(모범생)","사악한 본성","9.83"
"361","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"362","홈 스윗 홈","네식구 사는 이야기","9.85"
"363","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"364","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"365","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"366","선선한 이야기","프리랜선선","9.68"
"367","일상견문록","다른나라 일상이야기","9.85"
"368","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"369","카나와 초나의 독일","독일 유학 생존기","9.89"
"370","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"371","다 이아리","데이트폭력에 관하여","9.84"
